loop_epoch,test_ratio,test_type,MAP1,MAP3,MAP5,nDCG1,nDCG3,nDCG5
1,0.0,Human,29.542857142857144,45.72380952380971,52.97809523809587,29.542857142857144,51.303604518163645,64.52836657434628
1,0.0,LLM,29.428571428571427,45.247619047619295,52.68761904761969,29.428571428571427,50.76893391449019,64.30153811073417
1,0.0,Human Target,10.971428571428572,22.19999999999996,26.828571428571273,10.971428571428572,26.05204606714337,34.424652486788574
1,0.0,LLM Target,19.142857142857142,28.514285714285638,32.77999999999997,19.142857142857142,31.79837309918408,39.51445181224923
2,0.5323651452282158,Human,22.97142857142857,40.48571428571442,48.46857142857191,22.97142857142857,46.650527777755585,61.130404374608936
2,0.5323651452282158,LLM,18.8,35.78095238095235,44.998095238095544,18.8,41.70631526265362,58.46482517073063
2,0.5323651452282158,Human Target,8.114285714285714,16.152380952380973,20.692380952380848,8.114285714285714,19.096394346530893,27.343014052375064
2,0.5323651452282158,LLM Target,11.942857142857143,21.819047619047605,26.71333333333321,11.942857142857143,25.280671801428987,34.152128536123065
3,0.5983402489626556,Human,28.57142857142857,45.342857142857326,52.54000000000059,28.57142857142857,51.177066147959536,64.21876472645951
3,0.5983402489626556,LLM,24.514285714285712,41.304761904762024,49.304761904762394,24.514285714285712,47.20292683204123,61.7461847843546
3,0.5983402489626556,Human Target,11.028571428571428,19.29523809523808,23.889523809523663,11.028571428571428,22.31271311918399,30.619001914731967
3,0.5983402489626556,LLM Target,12.914285714285715,25.161904761904697,30.11619047619033,12.914285714285715,29.312550202041425,38.272862489835475
4,0.6609958506224066,Human,22.857142857142858,40.19047619047625,48.32476190476236,22.857142857142858,46.29883356244946,61.02023467526696
4,0.6609958506224066,LLM,16.57142857142857,32.038095238095174,42.395238095238305,16.57142857142857,37.62136012163318,56.44288507691392
4,0.6609958506224066,Human Target,5.485714285714286,12.40952380952384,16.986666666666608,5.485714285714286,14.966494698571612,23.306114277575805
4,0.6609958506224066,LLM Target,12.0,21.085714285714264,25.89142857142845,12.0,24.349416781224853,33.082797784753204
5,0.6595435684647303,Human,25.142857142857146,41.99047619047635,49.77333333333389,25.142857142857146,47.9580366308167,62.105460998576035
5,0.6595435684647303,LLM,19.085714285714285,35.4761904761905,44.76190476190521,19.085714285714285,41.310435685102526,58.262025928196834
5,0.6595435684647303,Human Target,5.485714285714286,13.333333333333371,17.9761904761904,5.485714285714286,16.18210863224514,24.65185924511043
5,0.6595435684647303,LLM Target,13.942857142857143,24.51428571428565,28.834285714285546,13.942857142857143,28.27590084571474,36.10000471794188
6,0.7134854771784233,Human,20.457142857142856,37.65714285714293,46.36000000000045,20.457142857142856,43.68522553428623,59.50941616772565
6,0.7134854771784233,LLM,14.971428571428572,30.323809523809388,40.872380952381164,14.971428571428572,36.01322788816376,55.268493585818426
6,0.7134854771784233,Human Target,3.085714285714286,9.285714285714288,14.27428571428569,3.085714285714286,11.60325266632669,20.66614963031192
6,0.7134854771784233,LLM Target,12.571428571428573,20.761904761904734,25.68190476190463,12.571428571428573,23.686852435102367,32.65338120298645
7,0.6759336099585063,Human,27.6,43.61904761904784,51.267619047619675,27.6,49.287990584490146,63.22100473965181
7,0.6759336099585063,LLM,23.085714285714285,39.09523809523818,47.772380952381475,23.085714285714285,44.71179105734736,60.54971081387767
7,0.6759336099585063,Human Target,10.4,18.419047619047603,22.79619047619035,10.4,21.28549706285744,29.183863256486763
7,0.6759336099585063,LLM Target,14.22857142857143,24.88571428571423,29.40857142857127,14.22857142857143,28.628950433265786,36.86054485310781
8,0.6736514522821577,Human,20.914285714285715,37.838095238095285,46.4752380952385,20.914285714285715,43.911791057347386,59.593761639561336
8,0.6736514522821577,LLM,15.142857142857144,30.428571428571328,41.03714285714304,15.142857142857144,36.05063638918414,55.39475763993907
8,0.6736514522821577,Human Target,3.1428571428571432,8.980952380952377,13.789523809523793,3.1428571428571432,11.185578521428717,19.90937472192624
8,0.6736514522821577,LLM Target,12.22857142857143,21.36190476190472,25.99619047619036,12.22857142857143,24.520140513673876,32.94611143144448
9,0.6815352697095436,Human,26.285714285714285,42.780952380952556,50.4438095238101,26.285714285714285,48.701598612653434,62.61086678738982
9,0.6815352697095436,LLM,20.057142857142857,36.03809523809524,45.263809523809854,20.057142857142857,41.83767889428617,58.63996849745776
9,0.6815352697095436,Human Target,8.057142857142857,16.561904761904756,21.07047619047607,8.057142857142857,19.48750296836769,27.670309264448196
9,0.6815352697095436,LLM Target,13.600000000000001,23.019047619047573,27.636190476190315,13.600000000000001,26.388180654490178,34.823304320987916
10,0.6815352697095436,Human,19.54285714285714,36.5809523809524,45.36095238095278,19.54285714285714,42.79343922632698,58.74568873359753
10,0.6815352697095436,LLM,15.657142857142858,31.21904761904755,41.590476190476394,15.657142857142858,36.836323522041326,55.81543775736457
10,0.6815352697095436,Human Target,3.5999999999999996,9.066666666666666,13.700952380952348,3.5999999999999996,11.078774507347083,19.5289234598468
10,0.6815352697095436,LLM Target,12.685714285714287,21.70476190476187,26.381904761904657,12.685714285714287,24.846678883877953,33.32230203401781
