3168	A1VXIY1511XQK2	1406073600	B001A5S3BM B000V1BDIG B0027CT5TG B004D268RA B006MRM2TC B0063A432W B00547H5U2 B00FU574H2 B00ID8H4OG	B00ISW8ZVS-1 B00279BKRY-0 B000OYJ9AO-0 B000OYJ9AO-0 B00L5BXG36-0
12619	AODS7154NF35B	1406073600	B00G2TQNZ4 B00GLE8SNK B00GFBWWWC B00IBS9QC6 B00IP42FBA B00IDWP4IA B00G5WO2VK B00JX979CQ B00JJVG6HC B00GRBVM0S B00772AKMM B00K2O3NV2 B002HPBF32 B00GJ4X3MI B00GXBEV0A B00C8YCFU4 B00IMHN0B4 B00K7PO996 B00KAL5JAU B00GYF65TK B00C7DYBX0 B00GPDRFPO B00KCFAZTE B00KCTER3U B00JNI1DZQ B00I073WLE B00KD73PBQ B00G75X158 B00KBGHC9K B00JTY6WQ4	B00KWE08Q0-1 B001AZIY6Q-0 B00390DN34-0 B005G9LPAY-0 B00BKUHH50-0
452	A14NHXPYTSZ2HT	1406073600	B00IT1HKV4 B00I2495QG B00IU079YM B00HM8PWEM B00JRGQ09S B00IIB82FS B00H8C82IU B00KLZO2JE B00FFANXMM B00K86E9PI B00GGR7YGO B00JC77VEK B00K861Z4G	B00LG63DOM-1 B001CN3QKK-0 B007USPWS0-0 B00B840UKW-0 B005UKZAJG-0
11907	AH5NDKZ3YK0AE	1406073600	B000JVY52Y B00127U7QM B0075J4TDI B004MBJL58 B004HNFYF2 B006X1H2P6 B000GLGBQ0 B007PWRXHO B000FCR7MM	B00IOZWC2M-1 B00GCQMSVA-0 B000GCR6S6-0 B0006PLNSC-0 B000052ZTY-0
11922	AHAHJZ0Y7B485	1406073600	B00GPWYF94 B00GGR7YGO B00KLZO2JE B00KH6F6TM B00JC77VEK B00CEPM91M B00LG63DOM B00IMWA4RC	B00I2OR6YE-1 B000C1UFM0-0 B000C1W5LE-0 B006SMMYTE-0 B001E8HI8E-0
1418	A1EJLQY0WCBLO3	1406073600	B00IJYHRAK B00GFBWWWC B00GLE8SNK B00GQ9I9IO B000F6RFX4 B00JK3ZHIS B00H93NJLS B00IDWP4IA B00IP42FBA B00G5WO2VK B00JX979CQ B00IMHN0B4 B00K2O3NV2 B00GCQMSVA B00C8YCFU4 B00HHR0SYW B00KCFAZTE B00KCTER3U B00KD73PBQ B00GM31224 B00AYARK2C B00IT1HKV4 B00IT69F62 B00KQ4PEBU B00HZ7IRSI B00IRMZ6S4 B00IROPDPS B00I1ISDZM	B00K7PO996-1 B003M5UOBK-0 B00021CSBG-0 B0064ION50-0 B008AMKZUU-0
4969	A2D1LPEUCTNT8X	1405987200	B000F4GIP2 B000F4GIPM B003VKRO6E B001CTQMIC B001BSH2E2 B0017P7BOA B000OYJ9AO B000GCUPMU B003901LEW B001QFDTWO B001U2KP8Y B000XVEZFC B000YHLOC2 B000VBH8MQ B00479FP4Q B0010XUU9M B0045H854W B0030HPY74 B000142FVW B001ET734C B0016J6M2E B008HBMVZ6 B008PUJBJS B001BBINYM B004MTF3KC B004MBJKRC B004N7DQHA B00BEWW7AO B004Z209HS B004GIM68G B0002DUSR0 B000093I60 B008AI211A B00AYARK2C B004B9C8MO B0030DK7E8 B00BLDCXOQ B006VYF4BY B000EPA4GQ B00H93NJLS B00I6R90Q4 B00IFVHJDM	B00JX979CQ-1 B000EY4YLS-0 B000HJT1CW-0 B0009OAGRE-0 B00BMMI1I8-0
6307	A2PT4N5XHJ0JZG	1405987200	B00GFBWWWC B00K2O3NV2 B00KAL5JAU B00C8YCFU4 B00H0LVCVI B00BAZ7Y6M B00HZ7IRSI B00GYF65TK B00C7DYBX0 B00GPDRFPO B00KCFAZTE B00CHFRIDS B00KCTER3U B00G5WO2VK B00KPKIV8I	B00JYY576U-1 B003IU8KLU-0 B0009EXOXW-0 B003SZEQ2W-0 B001JTGODI-0
4434	A27S7IA2I03YWU	1405987200	B0035UZ0FW B004LXHFH8 B0055KRIJQ B00FAEOCP0 B00I32AN4K	B00KCTER3U-1 B000O2PDKQ-0 B00700H128-0 B000KEOQR4-0 B0016B5LAQ-0
2584	A1Q3VZH3TP8DFN	1405987200	B0006M5566 B0039UT9QE B008U5JB3Y B002ZTV9SG B000O5UWTA B0000531II B001MW38KY	B00EA5B2VW-1 B00449W12S-0 B0053PTTU4-0 B001MTFMPG-0 B00EOP3MJI-0
